Número por área,Eixo (SAEB),Área,Complexidade,Tarefa,Condição,Número,UID
,,MatCon,,"A palavra cachorro, tem mais sílabas que carro",1,0.0,579
,,MatCon,,"A palavra lasanha, tem mais sílabas que mãe",1,0.0,580
,,MatCon,,"A palavra menina, tem menos sílabas que menino",0,0.0,581
,,MatCon,,"A palavra Jabuti, tem mais sílabas que Rio",1,0.0,582
,,MatCon,,"A palavra arroz, tem menos sílabas que céu",0,0.0,583
,,MatCon,,"A palavra Morango, tem mais sílabas que Copo",1,0.0,584
,,MatCon,,"A palavra Violão, tem mais sílabas que Flor",1,0.0,585
,,MatCon,,"A palavra Rato, tem mais sílabas que Jacaré",0,0.0,586
,,MatCon,,"A palavra Barco, tem menos sílabas que Faca",0,0.0,587
,,MatCon,,"A palavra televisão, tem mais sílabas que rádio",1,0.0,588
,,MatCon,,"A palavra Bolacha, tem mais sílabas que Urso",1,0.0,589
,,MatCon,,"A palavra floresta, tem mais sílabas que rosa",1,0.0,590
,,MatCon,,"A palavra festejar, tem menos sílabas que limão",0,0.0,591
,,MatCon,,"A palavra Pente, tem mais sílabas que Armário",0,0.0,592
,,MatCon,,"A palavra vovó, tem menos sílabas que madrinha",1,0.0,593
,,MatCon,,"A palavra Caminhão, tem mais sílabas que Moto",1,0.0,594
,,MatCon,,"A palavra Cabelo, tem mais sílabas que unha",1,0.0,595
,,MatCon,,"A palavra COCO, tem mais sílabas que Bombom",0,0.0,596
,,MatCon,,"A palavra Açaí, tem mais sílabas que farinha",0,0.0,597
,,MatCon,,"A palavra Academia, tem menos sílabas que Luva",0,0.0,598
,,MatCon,,"A palavra açúcar, tem menos sílabas que sal",0,0.0,599
,,MatCon,,"A palavra Chocolate, tem mais sílabas que fruta",1,0.0,600
,,MatCon,,"A palavra felicidade, tem mais sílabasque triste",1,0.0,601
,,MatCon,,"A palavra Pia, tem mais sílabas e Caneta",0,0.0,602
,,MatCon,,"A palavra Amor, tem menos sílabas que presente",1,0.0,603
,,MatCon,,"A palavra Baleia, tem menos sílabas que AGUA",0,0.0,604
,,MatCon,,"A palavra Hora, tem mais sílabas que RELÓGIO",0,0.0,605
,,MatCon,,"A palavra Melancia, tem mais sílabas que Uva",1,0.0,606
,,MatCon,,"A palavra Mochila, tem mais sílabas que Lápis",1,0.0,607
,,MatCon,,"A palavra Acerola, tem menos sílabas que Fogo",0,0.0,608
,,MatCon,,"A palavra Tapioca, tem mais silabas que ovo",1,0.0,609
,,MatCon,,"A palavra Janeiro, tem mais sílabas que Março",1,0.0,610
,,MatCon,,"A palavra Pianista, tem menos sílabas que CIFRA",0,0.0,611
,,MatCon,,"A palavra Cofre, tem mais sílabas que Banco",0,0.0,612
,,MatCon,,"A palavra Cebola, tem mais sílabas que Alho",1,0.0,613
,,MatCon,,"A palavra estrela, tem mais sílabas que Natação",0,0.0,614
,,MatCon,,"A palavra Médico, tem mais sílabas que Arquiteto",0,0.0,615
,,MatCon,,"A palavra chave, tem mais sílabas que fechadura",0,0.0,616
,,MatCon,,"A palavra Jogo, tem mais sílabas que Luta",0,0.0,617
,,MatCon,,"A palavra Aliança, tem mais sílabas que Pipa",1,0.0,618
,,MatCon,,"A palavra Moça, tem mais sílabas que Caneca",0,0.0,619
,,MatCon,,"A palavra Janela, tem mais sílabas que Sol",1,0.0,620
,,MatCon,,"A palavra Pão, tem mais sílabas que Morango",0,0.0,621
,,MatCon,,"A palavra Roupa, tem menos sílabas que Vestido",1,0.0,622
,,MatCon,,"A palavra Ovo, tem mais sílabas que Batata",0,0.0,623
,,MatCon,,"A palavra Nuvem, tem mais sílabas que Céu",1,0.0,624
,,MatCon,,"A palavra Mel, tem menos sílabas que Floresta",1,0.0,625
,,MatCon,,"A palavra Cavalo, tem mais sílabas que Leão",1,0.0,626
,,MatCon,,"A palavra Tigre, tem menos sílabas que Borboleta",1,0.0,627
,,MatCon,,"A palavra Sapo, tem mais sílabas que Elefante",0,0.0,628
,,MatCon,,"A palavra Caminhão, tem mais sílabas que Rua",1,0.0,629
,,MatCon,,"A palavra Areia, tem mais sílabas que Padaria",0,0.0,630
,,MatCon,,"A palavra Leite, tem mais sílabas que Abacate",0,0.0,631
,,MatCon,,"A palavra Tesoura, tem mais sílabas que Dente",1,0.0,632
,,MatCon,,"A palavra Grama, tem menos sílabas que Mato",0,0.0,633
,,MatCon,,"A palavra Gelo, tem mais sílabas que Chocolate",0,0.0,634
,,MatCon,,"A palavra Casa, tem menos sílabas que Castelo",1,0.0,635
,,MatCon,,"A palavra Papel, tem mais sílabas que Dinheiro",0,0.0,636
,,MatCon,,"A palavra Sal, tem menos sílabas que Pimenta",1,0.0,637
,,MatCon,,"A palavra Anel, tem mais sílabas que Joalheiria",0,0.0,638
,,MatCon,,"A palavra Abril, tem menos sílabas que Fevereiro",1,0.0,639
,,MatCon,,"A palavra Roda, tem mais sílabas que Volante",0,0.0,640
,,MatCon,,"A palavra Dado, tem menos sílabas que Sapato",1,0.0,641
,,MatCon,,"A palavra Chave, tem menos sílabas que Corrente",1,0.0,642
,,MatCon,,"A palavra Chão, tem mais sílabas que Cidade",0,0.0,643
,,MatCon,,"A palavra Gelado, tem mais sílabas que Frio",1,0.0,644
,,MatCon,,"A palavra Cama, tem menos sílabas que Travesseiro",1,0.0,645
,,MatCon,,"A palavra Boneco, tem mais sílabas que Bala",1,0.0,646
,,MatCon,,"A palavra Luva, tem mais sílabas que Guarda-chuva",0,0.0,647
,,MatCon,,"A palavra Laranja, tem menos sílabas que AÇAÍ",0,0.0,648
,,MatCon,,"A palavra Sorvete, tem mais sílabas que pão",1,0.0,649
,,MatCon,,"A palavra fogueira, tem menos sílabas que fogo",0,0.0,650
,,MatCon,,"A palavra Telefone, tem mais sílabas que Rádio",1,0.0,651
,,MatCon,,"A palavra Revista, tem menos sílabas que copo",0,0.0,652
,,MatCon,,"A palavra Carteira, tem mais sílabas que Bolsa",1,0.0,653
,,MatCon,,"A palavra Boca, tem mais sílabas que Relógio",0,0.0,654
,,MatCon,,"A palavra Almofada, tem mais sílabas que Tênis",1,0.0,655
,,MatCon,,"A palavra Mesa, tem mais sílabas que Tangerina",0,0.0,656
,,MatCon,,"A palavra Ninho, tem menos sílabas que Passarinho",1,0.0,657
,,MatCon,,"A palavra Zebra, tem mais sílabas que Cavalaria",0,0.0,658
,,MatCon,,"A palavra Galo, tem menos sílabas que Peixe-boi",1,0.0,659
,,MatCon,,"A palavra Caneta, tem mais sílabas que DADO",1,0.0,660
,,MatCon,,"A palavra Casamento , tem menos sílabas que anel",0,0.0,661
,,MatCon,,"A palavra Prato, tem mais sílabas que GELADEIRA",0,0.0,662
,,MatCon,,"A palavra Jornal, tem menos sílabas que Televisão",1,0.0,663
,,MatCon,,"A palavra Universidade, tem mais sílabas que Lápis",1,0.0,664
,,MatCon,,"A palavra Abacaxi, tem menos sílabas que Baú",0,0.0,665
,,MatCon,,"A palavra Cobra, tem mais sílabas que Lagarto",0,0.0,666
,,MatCon,,"A palavra Cinema, tem mais sílabas que Filme",1,0.0,667
,,MatCon,,"A palavra Brinquedo, tem mais sílabas que Bola",1,0.0,668
,,MatCon,,"A palavra Cenoura, tem menos sílabas que faca",0,0.0,669
,,MatCon,,"A palavra Estudo, tem mais sílabas que Laboratório",0,0.0,670
,,MatCon,,"A palavra Música, tem mais sílabas que Dança",1,0.0,671
,,MatCon,,"A palavra Lente, tem menos sílabas que Construção",1,0.0,672
,,MatCon,,"A palavra Toalha, tem mais sílabas que Pia",1,0.0,673
,,MatCon,,"A palavra Pasta, tem mais sílabas que Escritório",0,0.0,674
,,MatCon,,"A palavra Sabonete, tem mais sílabas que água",1,0.0,675
,,MatCon,,"A palavra Banheira, tem menos sílabas que Vaso",0,0.0,676
,,MatCon,,"A palavra Dente, tem mais SÍLABAS que Dentadura",0,0.0,677
,,MatCon,,"A palavra Tapete, tem mais sílabas que mesa",1,0.0,678
,,MatCon,,"A palavra Calça, tem mais sílabas que sapateiro",0,0.0,679
,,MatCon,,"A palavra Chuveiro, tem mais sílabas que Sabão",1,0.0,680
,,MatCon,,"A palavra Tinta, tem menos sílabas que Calendário",1,0.0,681
,,MatCon,,"A palavra Garrafa, tem menos sílabas que jogo",0,0.0,682
,,MatCon,,"A palavra Mae, tem menos sílabas que Estojo",1,0.0,683
,,MatCon,,"A palavra Panela, tem menos SÍLABAS que CHÁ",0,0.0,684
,,MatCon,,"A palavra moto, tem mais sílabas que Telefone",0,0.0,685
,,MatCon,,"A palavra Salada, tem mais sílabas que Sal",1,0.0,686
,,MatCon,,"A palavra Caixa, tem mais sílabas que Gaveta",0,0.0,687
,,MatCon,,"A palavra Escadaria, tem mais sílabas que Chão",1,0.0,688
,,MatCon,,"A palavra Ave, tem mais sílabas que PINGUIM",0,0.0,689
,,MatCon,,"A palavra Bolacha, tem menos sílabas que cacau",0,0.0,690
,,MatCon,,"A palavra Casaco, tem mais sílabas que Capa",1,0.0,691
,,MatCon,,"A palavra Peixe, tem menos sílabas que Camarão",1,0.0,692
,,MatCon,,"A palavra Jardim, tem mais sílabas que Flor",1,0.0,693
,,MatCon,,"A palavra Fruta, tem menos sílabas que Verdura",1,0.0,694
,,MatCon,,"A palavra Suco, tem mais sílabas que Refrigerante",0,0.0,695
,,MatCon,,"A palavra Leão, tem menos sílabas que rato",0,0.0,696
,,MatCon,,"A palavra Lanterna, tem mais sílabas que fogo",1,0.0,697
,,MatCon,,"A palavra GARAGEM, tem menos sílabas que sala",0,0.0,698
,,MatCon,,"A palavra GIRAFA, tem mais sílabas que Pato",1,0.0,699
,,MatCon,,"A palavra TATU, tem menos SÍLABAS que Rosa",1,0.0,700
,,MatCon,,"A palavra Fantasma, tem mais sílabas que filme",1,0.0,701
,,MatCon,,"A palavra Lobo, tem menos sílabas que Papagaio",0,0.0,702
,,MatCon,,"A palavra Vaca, tem mais sílabas FORMIGA",0,0.0,703
,,MatCon,,"A palavra CAJÚ, tem mais SÍLABAS que Acerola",0,0.0,704
,,MatCon,,"A palavra Convento, tem mais sílabas que Papa",1,0.0,705
,,MatCon,,"A palavra PERFUME, tem mais SÍLABAS que Meia",1,0.0,706
,,MatCon,,"A palavra ABAJUR, tem mais SÍLABAS que Ventilador",0,0.0,707
,,MatCon,,"A palavra Tesoura, tem menos sílabas que Faca",0,0.0,708
,,MatCon,,"A palavra RODA, tem menos sílabas que FUTEBOL",1,0.0,709
,,MatCon,,"A palavra Tigela, tem mais sílabas que Prato",1,0.0,710
,,MatCon,,"A palavra OLIMPÍADA, tem menos sílabas que TROFÉU",0,0.0,711
,,MatCon,,"A palavra lápis, tem mais sílabas que Cartolina",0,0.0,712
,,MatCon,,"A palavra TINTA, tem menos sílabas que Pintura",1,0.0,713
,,MatCon,,"A palavra Salgado, tem mais sílabas que BOLO",1,0.0,714
,,MatCon,,"A palavra Café, tem mais sílabas que Cereja",0,0.0,715
,,MatCon,,"A palavra Vidro, tem mais sílabas que Palmito",0,0.0,716
,,MatCon,,"A palavra Baleia, tem menos sílabas que Balão",0,0.0,717
,,MatCon,,"A palavra Montanha, tem mais sílabas que Terra",1,0.0,718
,,MatCon,,"A palavra Sombra, tem mais sílabas que Luz",1,0.0,719
